Step,external_noise_direct,external_noise_prefix,external_noise_direct_ma25,external_noise_prefix_ma25,self_noise_direct,self_noise_prefix,self_noise_direct_ma25,self_noise_prefix_ma25,random_noise_direct,random_noise_prefix,random_noise_direct_ma25,random_noise_prefix_ma25
56,0.563725471496582,0.4230769276618957,0.7968249797821045,0.5952181565761566,0.5729166865348816,0.28125,0.7849872469902038,0.31545833349227903,0.5729166865348816,0.53125,0.7810416698455811,0.69125
57,0.8571428656578064,0.5625,0.7986249804496766,0.6002181565761566,0.859375,0.296875,0.7866539144515992,0.32483333349227905,0.8541666865348816,0.78125,0.7827083349227906,0.7
58,0.8039215803146362,0.3846153914928436,0.8033188581466675,0.5999681556224823,0.7916666865348816,0.3125,0.7908205795288086,0.32983333349227906,0.7760416865348816,0.796875,0.7868750023841858,0.711875
59,0.9471153616905212,0.6666666865348816,0.8007521390914917,0.5891348230838775,0.9479166865348816,0.390625,0.7870705795288085,0.3367083334922791,0.9375,0.703125,0.7816666698455811,0.7125
60,0.71875,0.578125,0.7985639023780823,0.5890249311923981,0.7083333134651184,0.25,0.7856122469902038,0.34358333349227904,0.7447916865348816,0.640625,0.7814583373069763,0.713125
61,0.9049999713897704,0.8392857313156128,0.7993442940711976,0.5930359208583832,0.90625,0.421875,0.7854039144515991,0.34795833349227906,0.9010416865348816,0.859375,0.7814583373069763,0.718125
62,0.7193877696990967,0.5666666626930237,0.7993442940711976,0.5955359208583831,0.7135416865348816,0.328125,0.7864455795288086,0.34795833349227906,0.6927083134651184,0.703125,0.7820833373069763,0.725
63,0.8557692170143127,0.7083333134651184,0.796536602973938,0.603512110710144,0.8802083134651184,0.453125,0.7835289120674134,0.3523333334922791,0.9010416865348816,0.796875,0.7808333373069763,0.7275
64,0.831632673740387,0.800000011920929,0.7928827571868896,0.5960121119022369,0.7604166865348816,0.390625,0.7808418369293213,0.34920833349227903,0.796875,0.71875,0.7779166722297668,0.729375
65,0.8010203838348389,0.699999988079071,0.787338490486145,0.5951787781715393,0.7653061151504517,0.1833333373069763,0.7745918369293213,0.35045833349227906,0.7916666865348816,0.671875,0.7747916722297669,0.72375
